distance_km,days_late,review_score,product_weight_g
718,-8,5,950
418,-24,4,117
499,-16,1,340
249,-15,5,800
137,-7,5,300
386,-11,5,1500
2689,-18,4,250
1530,-29,4,350
308,-7,5,1350
736,-9,1,303
466,-20,5,550
162,-3,4,450
162,-3,4,450
162,-3,4,450
162,-3,4,450
947,-14,5,1825
47,-25,5,500
367,-21,3,1450
414,-8,4,8350
851,0,5,800
851,-19,5,800
388,-14,5,6500
808,-14,4,2750
730,-18,5,7750
594,-14,3,850
594,-14,3,850
594,-14,3,850
791,-8,5,133
2223,-22,5,800
377,-3,5,150
377,-3,5,150
377,-3,5,150
168,-12,5,1950
77,-7,5,350
808,-10,5,300
663,-25,1,180
809,-14,5,350
1009,-20,5,300
1009,-20,5,300
138,-13,3,100
402,-1,5,250
443,-9,5,4300
660,-10,5,1867
723,-24,5,900
42,-31,5,400
507,-15,5,4600
507,-15,5,4600
34,-3,4,500
597,-14,5,1400
27,-16,5,500
108,7,1,200
580,-33,5,1825
43,-11,5,2200
942,-9,5,3100
1025,-7,5,23800
1021,-4,4,10100
21,-12,5,11900
1338,-9,5,1500
4,-14,5,400
417,-21,5,300
48,-5,5,400
2346,-18,5,233
2346,-18,5,233
2346,-18,5,233
2346,-18,5,233
410,-13,5,1700
732,-11,5,550
2320,-20,4,350
320,-5,3,100
22,-10,5,11325
577,-6,1,1500
577,-6,1,1500
404,-14,4,5100
416,-32,4,225
610,-17,5,225
497,-1,4,325
419,-21,3,900
1047,-2,5,14150
321,-21,4,850
1886,-24,2,640
732,3,1,26000
548,-1,1,500
548,-1,1,500
321,-12,5,30000
367,-12,5,1500
679,-6,2,700
375,-18,4,450
375,-18,4,450
84,-12,4,100
558,-26,3,371
1011,-26,3,371
558,-26,3,350
1011,-26,3,350
76,-9,5,473
736,-6,5,100
279,5,4,1000
197,3,1,14050
222,-14,2,2100
488,-13,5,300
285,-7,5,1050
1339,-21,5,200
2,-9,5,19500
1114,-14,5,400
934,-14,5,900
545,-20,1,200
2109,-2,5,333
705,-10,5,488
435,-15,1,950
435,-15,1,950
521,-9,2,584
86,-8,5,350
542,-14,2,750
374,7,2,150
355,-31,5,1625
487,-13,5,150
940,-20,5,200
588,-12,4,2416
1474,-13,5,250
337,-8,4,200
189,-8,5,2500
66,-3,5,150
66,-3,5,100
483,-15,5,1750
3,-11,5,1850
3,-11,5,1850
4,-11,4,1800
795,-11,4,350
609,-18,1,250
NULL,8,NULL,1250
308,-1,5,3675
2357,-31,5,450
218,-15,4,600
218,-15,4,600
218,-15,4,700
860,-20,5,1550
860,-20,5,1550
801,-12,5,100
1210,-20,4,1400
101,-7,3,750
1054,-22,5,100
12,-6,3,1900
679,-13,5,640
83,-21,5,900
216,-14,5,1000
596,-16,5,8600
510,-16,5,200
301,-4,4,1250
301,-4,4,1250
301,-4,5,1250
301,-4,5,1250
384,10,1,75
431,-20,1,1150
80,-6,4,900
18,-5,5,600
186,-28,3,400
417,-12,5,100
22,-5,5,525
NULL,-6,NULL,1250
17,-5,5,30000
48,-12,5,10025
2109,13,1,688
417,-11,5,2800
338,-15,4,200
221,-14,5,1625
152,-6,5,2425
1169,15,3,6450
1169,15,3,6450
1169,15,1,6450
1169,15,1,6450
1731,-27,5,128
6,-13,5,20450
8,-13,5,20450
6,-13,5,13250
8,-13,5,13250
6,-13,5,20800
8,-13,5,20800
447,-12,4,16650
589,-9,5,650
312,-9,5,850
358,-17,2,2100
246,-1,4,7000
246,-1,4,3750
377,-15,4,10800
781,-21,5,2083
11,-9,5,175
13,-7,5,75
124,-13,1,450
23,-7,5,1280
NULL,-4,NULL,400
539,-20,5,9560
752,-25,5,9100
892,5,1,180
533,-38,5,308
383,15,1,317
133,-11,5,6250
1343,-10,4,150
1343,-10,4,150
442,-19,2,2950
442,-19,2,3400
442,-19,2,1500
442,-19,2,2600
199,-15,5,2033
938,-17,5,1350
623,-14,4,50
490,-13,5,800
246,0,5,5950
728,-17,5,533
742,4,1,5475
5,1,4,250
2079,13,1,7463
173,-14,5,4400
340,-14,5,500
340,-14,5,500
548,-14,4,1450
567,-14,5,875
567,-14,5,875
11,-10,1,200
20,-8,4,300
2354,-9,4,13350
2354,-9,4,13350
863,-35,5,150
27,-5,5,450
921,-16,5,150
345,-10,5,750
206,-11,4,444
112,-5,5,250
1490,-9,1,1550
1490,-9,1,1550
11,-12,5,5600
11,-12,5,5600
173,-7,4,100
1148,-10,5,400
899,-17,5,700
836,14,1,1867
1523,-19,4,2500
24,-7,4,1600
499,-1,4,200
170,-5,5,850
501,-9,4,1100
830,-14,5,1300
689,-39,5,3650
1568,-16,3,200
1568,-16,3,200
24,-14,5,1160
16,-2,5,1800
299,-14,5,1825
63,-16,5,569
492,-11,5,1250
427,-17,4,150
2144,-27,5,200
16,-8,5,200
719,-3,3,1132
459,-12,5,500
493,-5,5,7000
1568,-15,4,5700
347,-25,1,7600
NULL,-12,NULL,150
1162,-23,4,200
634,-7,5,350
374,-17,5,300
1464,-2,5,1950
74,-10,5,163
475,-10,5,1150
2010,-19,5,2500
137,-19,4,5550
585,-8,3,180
697,-3,5,233
14,-19,3,6400
875,11,1,950
347,-10,5,5950
35,-15,5,541
470,-20,5,1300
470,-20,5,1650
2355,-15,4,450
5,-12,5,550
119,-26,5,450
996,-21,4,1032
850,-20,3,1200
690,-17,5,1150
11,-10,3,50
798,-17,5,200
798,-17,5,200
373,1,3,547
67,-17,5,300
532,-31,3,1588
787,-31,3,1588
532,-31,3,765
787,-31,3,765
435,-5,2,450
350,-12,4,675
7,-27,5,100
967,21,1,550
544,-10,5,400
309,-4,3,700
144,-10,4,2444
490,-14,5,100
1217,-14,5,1067
1217,-14,5,1067
16,-10,5,4475
356,-17,5,200
424,-17,5,200
356,-17,5,180
424,-17,5,180
751,-15,4,450
1185,-26,5,850
1185,-26,5,850
1185,-26,5,850
1185,-26,5,850
603,-21,5,6750
30,-11,4,1200
352,-36,5,150
378,-10,4,1400
388,-12,2,400
161,-14,5,480
161,-14,5,480
864,10,1,150
296,-5,4,1813
1105,-23,5,300
19,-9,1,300
685,-11,2,119
825,-15,5,900
51,-13,5,250
30,-14,5,6400
30,-14,5,7150
294,-2,4,100
250,-12,5,15350
1798,-18,5,6550
14,-20,5,200
52,-14,4,15742
791,-21,5,100
32,-12,3,700
882,-9,4,200
8,-4,5,200
144,-14,5,700
2039,-22,1,448
133,-12,4,350
531,-12,5,2800
2153,-31,2,88
996,-20,3,1300
590,-9,1,200
94,-9,5,300
692,-8,5,5200
132,-18,5,750
9,-14,5,2900
NULL,-13,NULL,200
20,-27,5,150
566,-8,4,6150
39,-6,4,1200
1130,-6,5,467
55,-16,3,1200
437,-17,5,2600
437,-17,5,2600
594,-13,5,1600
102,-7,4,14150
151,-10,5,300
791,-23,5,400
2388,31,1,100
601,-33,5,600
32,-9,5,100
133,-13,3,150
652,-43,5,900
901,-20,5,2600
794,-14,5,150
44,-7,4,200
369,-15,5,7000
431,-17,3,6850
707,-10,4,450
690,-3,3,342
206,-15,5,10050
384,-14,5,350
935,-20,5,250
570,-21,3,5300
627,-21,3,5300
570,-21,3,2500
627,-21,3,2500
28,-17,5,150
28,-17,5,150
28,-17,5,150
28,-17,5,150
616,-13,5,1013
616,-13,5,1013
775,-21,2,600
91,-7,5,680
11,-12,5,400
11,-12,5,400
39,-9,5,250
39,-9,5,250
977,-12,5,1750
977,-12,5,1600
815,-16,4,150
506,0,4,2600
2168,-9,1,150
1009,-18,5,4050
695,-19,5,1650
142,-5,3,250
142,-5,3,50
7,-7,5,4450
760,-5,5,129
1726,-9,5,4900
707,-7,3,200
573,-9,1,400
208,-11,5,5750
69,-7,5,100
69,-7,5,100
361,-10,5,5600
411,-24,5,500
88,-11,5,530
108,-13,5,2100
603,-6,2,50
603,-6,2,50
476,-5,5,150
765,-24,2,550
2597,-14,5,100
1477,-21,5,1250
343,-17,5,2850
1069,-15,5,2275
900,-23,5,11800
900,-23,5,11800
1860,-21,5,4650
178,-12,5,1450
353,-22,4,88
82,-4,5,150
NULL,-12,NULL,1250
2093,-8,5,600
28,-22,1,3750
296,-12,5,1450
922,-6,5,135
798,-33,4,13450
1032,-19,5,3000
1289,-11,5,1033
300,-11,4,1400
6,-15,5,250
73,-7,5,1110
78,-9,5,280
1113,-9,5,1700
106,-11,2,238
151,-17,5,16100
671,-12,3,900
631,-14,1,500
631,-14,1,500
500,-11,5,346
644,-13,4,550
1472,-8,4,1825
2356,23,1,6950
1010,-14,5,250
2179,10,1,1925
80,-8,5,700
1144,-13,4,546
1144,-13,4,546
1144,-13,4,546
1885,-15,4,750
323,-24,3,10900
1169,-17,3,14925
522,-6,5,450
89,-9,5,330
1,-20,1,75
875,11,1,1300
870,-13,5,150
44,-9,4,1750
857,-25,4,1050
242,-27,5,12300
1651,-56,5,13050
51,-15,4,3600
6,9,5,200
174,-14,5,3850
840,-11,5,400
874,-13,5,100
582,-14,5,180
33,-7,5,50
194,-9,5,6550
386,-12,5,700
65,-8,5,1700
75,-14,5,1700
2348,-21,4,300
1653,-5,5,250
1816,-14,5,5417
163,-13,5,200
866,6,2,400
686,9,1,900
210,-4,5,1550
382,-19,3,363
67,-6,5,1050
67,-6,5,1050
56,-14,5,6550
2379,-21,4,10550
332,-13,5,800
902,-11,5,280
515,-13,4,712
378,-17,5,3300
443,-19,1,350
794,-19,1,350
443,-19,1,125
794,-19,1,125
151,-8,5,450
682,-15,5,12250
2202,22,1,4850
1338,-18,5,17400
259,-9,5,700
1241,-21,5,16250
85,-9,4,700
526,-20,5,600
1929,-23,5,700
998,-24,5,750
9,-9,5,250
244,-20,5,250
618,-15,5,500
1851,-16,4,169
967,-21,1,750
22,0,5,5250
304,-15,3,1700
1033,1,2,725
43,-18,5,3900
521,-4,5,1250
596,-1,2,200
NULL,-15,NULL,1383
6,-13,5,250
56,-9,2,180
68,-11,5,16300
479,-19,5,100
437,-16,5,1200
824,-8,3,625
137,-11,5,400
498,-37,4,200
1747,-14,5,700
21,-9,5,1200
171,-6,3,200
252,-9,5,350
444,-18,4,300
444,-18,4,300
444,-18,5,300
444,-18,5,300
979,-21,5,210
406,-22,4,200
406,-22,4,200
324,-20,5,102
380,-7,5,5950
76,-25,5,1350
851,-10,1,30000
997,-7,4,2350
898,-12,5,1038
902,-12,5,150
581,-8,1,900
6,-7,5,300
6,-7,5,300
415,-14,4,450
415,-14,4,450
38,-9,5,887
682,-14,5,2050
682,-14,5,2050
682,-14,5,2050
682,-14,5,2050
682,-14,5,2050
31,-13,4,8550
975,5,5,1965
824,-21,5,9750
476,-7,5,250
548,-9,5,4550
80,-6,5,1110
458,-13,5,1350
418,-18,1,1050
491,-18,1,1050
418,-18,1,850
491,-18,1,850
925,-19,3,300
397,-14,1,267
91,-1,4,1350
91,-1,4,1350
334,-5,5,133
30,-10,5,9400
57,-8,4,180
506,-28,3,438
344,-8,5,1100
1115,-14,4,150
970,-6,4,5800
125,-8,5,550
251,-14,1,150
251,-14,1,150
431,8,1,20450
2339,-12,5,850
233,-14,3,1250
358,-14,3,1250
233,-14,3,1200
358,-14,3,1200
707,17,1,1650
454,-13,4,800
62,-12,5,1000
2251,31,1,1136
494,-14,5,1038
415,-18,5,300
974,-7,5,1250
504,-8,5,300
96,-13,5,350
473,9,2,313
284,-13,5,550
602,-16,5,2900
1102,-12,5,3000
595,-7,3,1975
220,-33,5,275
150,-18,2,16650
150,-18,2,16650
150,-18,2,16650
15,-14,5,900
15,-14,5,900
51,-16,4,175
494,-11,5,1150
175,-6,5,500
958,-9,5,1277
4,-8,1,250
935,13,1,550
935,13,1,550
583,-16,5,800
293,-8,5,450
301,-15,5,1383
301,-15,5,1383
1889,-7,4,1750
1087,-17,3,250
357,-13,4,838
845,-26,5,125
1351,-27,4,1550
641,-12,5,9400
2020,-15,5,700
748,-7,5,150
194,17,1,800
440,-19,5,525
1444,-3,4,250
294,-6,5,1300
545,-15,5,300
392,-10,4,1550
29,-18,5,200
775,-14,5,2450
1020,-13,5,1650
34,-8,5,150
364,-6,4,8600
982,-18,5,5300
982,-18,5,5300
1798,15,1,1300
707,-5,5,100
89,-22,4,400
1392,-27,1,88
1392,-27,1,88
8,-16,2,472
418,-16,2,472
8,-16,2,550
418,-16,2,550
829,-13,4,6900
492,-9,5,150
67,-8,5,1300
362,-2,5,50
1435,-7,5,6750
895,-17,4,150
172,-13,5,2700
441,-7,4,2450
29,-6,1,3575
NULL,-13,NULL,7400
383,14,1,200
422,-13,5,1850
1216,-11,5,10100
915,-7,5,450
912,-17,5,150
587,-14,5,800
322,-13,5,13500
55,-11,1,4650
582,1,1,450
704,-15,5,1500
5,-1,5,500
230,-16,4,850
230,-16,4,850
404,-20,5,530
1516,-16,5,8683
915,-18,4,200
898,-16,5,1300
898,-16,5,1300
837,-21,5,100
91,-8,3,400
129,-7,5,3600
342,-7,4,783
487,-4,5,538
806,-9,5,2300
148,-14,5,1300
194,-13,5,800
194,-13,5,800
154,-18,5,250
365,-6,3,150
127,-6,3,350
314,-14,5,150
335,-3,5,150
335,-3,5,150
1125,-8,5,4867
814,-8,5,150
368,-14,5,750
715,-15,5,700
418,-10,5,700
362,-11,4,1500
109,-3,5,450
121,-13,5,950
4,-17,5,2600
627,-20,4,700
NULL,-13,NULL,250
244,-9,1,10100
370,-14,4,5950
396,-29,5,100
880,-9,5,200
18,-10,5,550
128,-18,5,1150
370,-13,5,558
22,-7,5,154
2377,41,1,400
717,-24,3,950
794,-6,2,280
365,-3,4,1200
26,-9,5,1400
413,-17,5,1291
321,-8,4,6700
671,-19,5,450
445,-26,5,250
1966,-36,5,1050
131,-13,5,1400
186,-8,5,350
367,-8,5,11450
1544,-10,5,600
371,-14,5,1450
47,-10,5,150
573,-6,5,1550
573,-6,5,1550
505,-9,4,100
504,-3,5,400
691,-14,4,300
2369,-20,4,375
355,-2,5,250
10,-13,1,650
4,-7,5,150
1095,-23,5,575
809,-12,5,1663
663,-23,5,600
361,-17,5,1275
53,-14,4,8267
161,-12,4,300
25,-33,5,2900
450,-17,5,300
47,-12,4,450
853,-14,5,350
341,-9,5,950
138,-10,5,200
2305,-12,5,750
296,-20,3,900
983,-21,5,1450
81,-10,5,553
471,-15,5,2200
180,-7,5,150
1354,-31,3,250
13,-6,5,950
84,-7,5,200
2091,-38,5,3700
648,-13,4,4150
977,-15,3,800
977,-15,3,800
977,-15,3,800
566,-12,5,150
32,-6,5,520
10,-15,3,1950
10,-15,3,1950
364,-15,5,1100
312,7,4,2726
312,7,4,2726
519,-9,4,700
483,-18,5,400
549,-35,5,3475
107,-13,4,800
NULL,-13,NULL,5200
24,-6,5,257
117,-15,4,150
758,-1,2,363
2337,-9,3,2900
340,-16,5,100
302,-14,5,1750
583,-13,5,133
2363,-20,5,150
545,-13,5,450
303,-16,5,6150
730,-28,5,767
431,-1,5,1550
144,-10,4,1250
20,-13,5,1467
13,-3,5,547
2049,-17,5,1100
312,28,1,9750
312,28,1,9750
668,-24,5,396
17,-9,5,1850
371,-13,5,1400
371,-13,5,1400
371,-13,4,1400
371,-13,4,1400
16,-9,5,500
1263,-26,3,553
1353,-26,3,553
1263,-26,3,426
1353,-26,3,426
270,-17,5,2600
852,-21,2,3150
1105,-6,4,150
310,-15,5,1032
487,-19,5,300
476,-19,5,300
487,-19,5,367
476,-19,5,367
297,-16,1,6663
1454,1,5,200
157,-10,1,484
157,-10,1,484
157,-10,1,484
321,-14,3,200
751,-12,5,650
751,-12,5,650
17,-2,2,450
328,-27,5,7400
88,-5,5,7500
409,-7,5,1700
492,0,2,1050
2342,0,1,1300
2342,0,1,1300
490,-8,5,712
NULL,-33,NULL,2079
NULL,-33,NULL,2079
32,-11,5,500
462,-50,1,100
339,-4,4,150
255,-13,5,850
255,-13,5,850
255,-13,5,850
NULL,-10,NULL,450
678,-26,5,250
1317,-17,3,250
2383,-17,5,250
1931,-1,4,1850
25,-12,3,950
530,-15,5,200
91,-10,5,1250
1239,9,3,408
132,-9,3,1200
1194,-9,5,150
128,-6,4,1400
147,-13,2,728
1699,-19,5,450
119,-16,3,1550
15,-16,5,200
52,-14,5,6150
134,-23,1,150
563,-15,4,250
462,-10,5,50
394,-6,5,400
1162,-14,4,150
53,-4,5,367
310,-17,5,418
18,0,5,1038
55,9,1,900
323,-13,3,1550
NULL,-15,NULL,200
339,-13,5,400
1657,-15,5,5000
767,-15,5,1375
23,-6,4,600
159,-4,4,250
871,-8,5,200
176,-7,1,125
176,-7,1,75
667,-5,5,1550
832,-26,3,2800
95,-8,5,2300
326,-11,5,750
446,-10,5,30000
320,-10,5,250
223,-6,5,308
83,-4,5,1867
514,-9,5,1000
406,-13,4,422
2468,-11,5,50
21,-13,5,2600
21,-13,5,2600
422,-11,5,1500
16,-16,4,400
283,-17,4,10925
865,-14,5,1067
1475,-12,5,438
406,-7,4,9450
416,-16,5,2500
541,-16,5,2500
416,-16,5,167
541,-16,5,167
99,-8,5,190
1430,-16,5,7400
1501,-14,4,175
502,-15,3,350
704,-17,3,7600
358,-17,5,448
56,-5,5,600
70,-7,5,1600
414,-13,5,1100
968,-14,5,817
968,-14,5,817
326,11,1,200
8,-7,4,200
NULL,-14,NULL,3750
492,-15,5,10600
11,-10,1,20450
1345,-23,5,550
359,-22,1,100
351,-22,1,100
359,-22,1,350
351,-22,1,350
725,-14,5,450
507,-23,5,1900
361,16,1,350
2104,-6,4,1500
20,-6,1,300
347,-19,2,250
1539,-29,5,250
1539,-29,5,450
63,-14,5,400
342,-12,5,19450
2267,13,1,250
520,-19,3,575
873,-16,5,2400
873,-16,5,1150
366,-15,4,250
414,-8,5,6050
454,-4,3,1000
89,-14,4,400
13,-14,5,750
13,-14,5,750
973,-8,5,150
438,-6,1,567
461,-12,5,1350
99,-22,4,175
119,-8,5,254
302,-14,3,1100
1100,-22,5,1300
295,-2,3,383
303,-9,3,200
2342,-6,3,200
423,-7,5,600
539,-11,5,350
321,-5,5,1750
29,4,1,14950
118,-19,4,250
118,-19,4,250
118,-19,4,250
118,-19,4,250
202,-9,1,800
202,-9,1,800
202,-9,1,800
202,-9,1,800
202,-9,1,800
576,-21,5,1850
576,-21,5,1850
351,-13,5,2380
351,-13,5,2380
55,-8,5,5250
39,-3,5,16450
796,-20,5,150
422,-18,5,1350
422,-18,5,450
104,0,4,1800
33,-5,1,400
33,-5,1,400
2717,-16,5,525
NULL,-10,NULL,800
11,-6,3,700
868,-25,5,1400
82,-8,5,1600
487,-23,3,150
2135,-15,4,533
45,-7,4,500
103,-22,5,275
2,-13,5,950
339,-13,4,100
64,-4,4,250
535,-15,1,396
535,-15,1,396
501,-12,5,975
810,-21,5,12275
14,-5,5,150
478,-2,3,4105
531,-19,5,600
2415,-44,5,150
478,-6,5,1000
228,-15,2,1350
65,-11,1,2500
60,-29,5,50
133,-1,5,16050
851,-6,5,30000
783,-15,5,1050
6,-7,5,1200
8,-10,5,250
626,-10,5,250
10,-4,3,450
837,-14,2,317
299,-23,4,600
299,-23,4,600
723,-15,2,850
140,-14,1,900
140,-14,1,950
1351,-21,4,100
517,-2,5,1500
171,-15,2,207
171,-15,2,207
2102,-26,4,4100
2102,-26,4,4100
1079,-2,3,350
125,-12,4,556
73,-7,5,156
93,-13,3,154
705,-8,1,140
25,-15,5,900
968,-27,4,1625
809,-28,5,500
139,-23,5,1000
838,-15,5,250
303,-10,5,100
303,-5,5,350
149,-7,3,150
149,-7,3,150
2143,-45,5,30000
2506,-19,5,100
65,-14,4,600
44,-12,5,200
350,19,1,525
311,-11,1,850
1398,-8,5,950
221,-9,5,1383
121,-11,4,3200
381,-19,5,13450
441,21,2,200
579,-8,2,2250
270,-13,5,400
552,-14,5,650
121,-12,5,850
121,-12,5,850
2182,-12,5,444
572,-22,5,200
1388,-14,4,1400
1388,-14,4,1400
894,-27,1,1000
881,-27,1,1000
894,-27,1,450
881,-27,1,450
343,-14,4,550
843,-21,3,11467
11,-13,5,450
698,-18,5,100
327,-13,5,750
482,-13,5,850
574,-14,4,6200
994,-27,5,1650
544,-10,5,150
57,-8,5,300
42,-4,5,6500
857,-12,5,2600
440,-22,5,450
440,-22,5,450
411,-19,5,1650
493,-5,4,50
31,-18,5,13388
2109,-15,4,7000
309,-16,4,750
670,14,3,1800
450,-18,5,175
512,-17,5,850
512,-17,5,850
490,-10,4,350
25,-16,5,1813
25,-16,5,1813
154,-10,4,765
364,-7,4,4175
51,-7,5,750
1761,-11,5,4765
1158,-15,4,3121
2340,-9,4,1850
23,-11,5,200
13,-5,2,100
350,-17,5,1100
82,-15,5,6050
2121,-6,5,350
418,-18,4,4375
685,-9,4,200
1489,-11,5,1050
895,-13,4,175
